feature_selection_method,n_feature_to_select,model_name,sn,sp,acc,mcc,auc
RFE_MLR,12,DT,0.75,0.272727273,0.555555556,0.019462474,0.511363636
RFE_MLR,13,DT,0.75,0.272727273,0.555555556,0.019462474,0.511363636
RFE_MLR,39,KNN,0.75,0.272727273,0.555555556,0.019462474,0.511363636
RFE_MLR,49,DT,0.75,0.272727273,0.555555556,0.019462474,0.511363636
RFE_MLR,68,KNN,0.75,0.272727273,0.555555556,0.019462474,0.511363636
RFE_MLR,73,KNN,0.75,0.272727273,0.555555556,0.019462474,0.511363636
RFE_DT,33,KNN,0.75,0.272727273,0.555555556,0.019462474,0.511363636
RFE_DT,62,KNN,0.75,0.272727273,0.555555556,0.019462474,0.511363636
RFE_DT,130,KNN,0.75,0.272727273,0.555555556,0.019462474,0.511363636
RFE_MLR,6,SVM,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_MLR,7,SVM,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_MLR,21,DT,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_MLR,50,KNN,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_MLR,58,KNN,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_MLR,123,SVM,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_MLR,124,SVM,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_MLR,124,KNN,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_MLR,125,KNN,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_MLR,126,SVM,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_MLR,127,SVM,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_MLR,128,SVM,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_MLR,129,SVM,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_MLR,130,SVM,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_DT,2,SVM,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_DT,2,KNN,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_DT,3,SVM,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_DT,8,DT,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_DT,10,SVM,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_DT,14,SVM,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_DT,15,SVM,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_DT,26,KNN,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_DT,41,KNN,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_DT,49,KNN,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_DT,101,SVM,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_DT,103,SVM,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_DT,104,SVM,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_DT,106,SVM,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_DT,107,SVM,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_DT,108,SVM,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_DT,132,SVM,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_DT,133,SVM,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_DT,134,SVM,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_DT,135,SVM,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_DT,136,SVM,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_DT,137,SVM,0.5625,0.454545455,0.518518519,0.009869275,0.508522727
RFE_MLR,8,DT,0.375,0.636363636,0.481481481,0.005698029,0.505681818
RFE_MLR,102,DT,0.375,0.636363636,0.481481481,0.005698029,0.505681818
RFE_MLR,112,DT,0.375,0.636363636,0.481481481,0.005698029,0.505681818
RFE_DT,5,DT,0.375,0.636363636,0.481481481,0.005698029,0.505681818
RFE_MLR,1,KNN,1,0,0.592592593,,0.5
RFE_MLR,3,KNN,1,0,0.592592593,,0.5
RFE_MLR,4,KNN,1,0,0.592592593,,0.5
RFE_MLR,11,KNN,0.625,0.363636364,0.518518519,-0.007463518,0.494318182
RFE_MLR,28,KNN,0.625,0.363636364,0.518518519,-0.007463518,0.494318182
RFE_MLR,38,KNN,0.625,0.363636364,0.518518519,-0.007463518,0.494318182
RFE_MLR,43,KNN,0.625,0.363636364,0.518518519,-0.007463518,0.494318182
RFE_MLR,50,DT,0.625,0.363636364,0.518518519,-0.007463518,0.494318182
RFE_MLR,54,DT,0.625,0.363636364,0.518518519,-0.007463518,0.494318182
RFE_MLR,73,SVM,0.625,0.363636364,0.518518519,-0.007463518,0.494318182
RFE_MLR,74,SVM,0.625,0.363636364,0.518518519,-0.007463518,0.494318182
RFE_MLR,75,SVM,0.625,0.363636364,0.518518519,-0.007463518,0.494318182
RFE_MLR,76,SVM,0.625,0.363636364,0.518518519,-0.007463518,0.494318182
RFE_MLR,82,KNN,0.625,0.363636364,0.518518519,-0.007463518,0.494318182
RFE_MLR,83,KNN,0.625,0.363636364,0.518518519,-0.007463518,0.494318182
RFE_MLR,84,KNN,0.625,0.363636364,0.518518519,-0.007463518,0.494318182
RFE_MLR,90,KNN,0.625,0.363636364,0.518518519,-0.007463518,0.494318182
RFE_MLR,91,KNN,0.625,0.363636364,0.518518519,-0.007463518,0.494318182
RFE_MLR,93,KNN,0.625,0.363636364,0.518518519,-0.007463518,0.494318182
RFE_MLR,94,KNN,0.625,0.363636364,0.518518519,-0.007463518,0.494318182
RFE_MLR,101,KNN,0.625,0.363636364,0.518518519,-0.007463518,0.494318182
RFE_MLR,107,KNN,0.625,0.363636364,0.518518519,-0.007463518,0.494318182
